iter	Passed	Remaining
1400	155050	10956
1401	155159	10845
1402	155276	10735
1403	155386	10624
1404	155496	10514
1405	155596	10402
1406	155710	10292
1407	155834	10182
1408	155948	10071
1409	156074	9962
1410	156191	9851
1411	156313	9741
1412	156426	9631
1413	156532	9520
1414	156639	9409
1415	156749	9298
1416	156868	9188
1417	156983	9078
1418	157119	8968
1419	157226	8857
1420	157329	8746
1421	157447	8636
1422	157553	8525
1423	157660	8414
1424	157766	8303
1425	157888	8193
1426	157986	8081
1427	158089	7970
1428	158203	7860
1429	158311	7749
1430	158420	7638
1431	158531	7528
1432	158652	7417
1433	158757	7306
1434	158883	7196
1435	158989	7085
1436	159102	6975
1437	159207	6864
1438	159323	6753
1439	159433	6643
1440	159542	6532
1441	159652	6421
1442	159762	6310
1443	159866	6199
1444	159977	6089
1445	160087	5978
1446	160189	5867
1447	160294	5756
1448	160392	5645
1449	160499	5534
1450	160608	5423
1451	160718	5313
1452	160877	5203
1453	161031	5094
1454	161170	4984
1455	161317	4874
1456	161468	4765
1457	161601	4655
1458	161740	4545
1459	161924	4436
1460	162079	4326
1461	162222	4216
1462	162363	4106
1463	162551	3997
1464	162696	3886
1465	162842	3776
1466	162987	3666
1467	163136	3556
1468	163269	3445
1469	163396	3334
1470	163523	3223
1471	163647	3112
1472	163789	3002
1473	163923	2891
1474	164058	2780
1475	164175	2669
1476	164306	2558
1477	164432	2447
1478	164542	2336
1479	164679	2225
1480	164796	2114
1481	164941	2003
1482	165059	1892
1483	165189	1781
1484	165316	1669
1485	165441	1558
1486	165567	1447
1487	165690	1336
1488	165798	1224
1489	165916	1113
1490	166033	1002
1491	166144	890
1492	166258	779
1493	166365	668
1494	166493	556
1495	166611	445
1496	166742	334
1497	166865	222
1498	166985	111
1499	167108	0
